mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Ciudad de México,15,0,75,0,38,0,54,0,182
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Coahuila de Zaragoza,0,0,7,0,8,0,4,0,19
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Colima,1,0,0,0,5,0,5,0,11
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Durango,0,0,8,0,6,0,7,0,21
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Estado de México,6,0,91,0,23,0,34,0,154
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Guanajuato,2,0,32,0,225,0,231,0,490
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Guerrero,5,0,35,0,11,0,14,0,65
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Hidalgo,3,0,16,0,10,0,12,0,41
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Jalisco,3,0,12,0,58,0,99,0,172
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Michoacán de Ocampo,5,0,9,0,29,0,66,0,109
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Morelos,2,0,38,0,8,0,5,0,53
